axis,value,seed,policy,mean_reward,purchase_rate,std_reward
delayed_reward_strength,0.0,5,no_op,0.9891364895829158,0.081,2.9027535946989627
delayed_reward_strength,0.0,5,ppo_v3,1.2146372075894742,0.0756,3.0724048938797646
delayed_reward_strength,0.0,5,uniform,1.0172154721393036,0.0762,2.9118595776263043
delayed_reward_strength,0.0,6,bandit_v2,1.1435334247171332,0.077,3.030932372789122
delayed_reward_strength,0.0,6,fqi_v3,1.0664905005433203,0.0824,2.9838612969955163
delayed_reward_strength,0.0,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
delayed_reward_strength,0.0,6,ppo_v3,1.3705450175121492,0.0822,3.1535630276051454
delayed_reward_strength,0.0,6,uniform,1.065086276881002,0.0768,2.965041777507048
delayed_reward_strength,0.0,7,bandit_v2,1.173675659153899,0.0824,3.063433856727632
delayed_reward_strength,0.0,7,fqi_v3,1.1070938026636452,0.0846,3.038037463410817
delayed_reward_strength,0.0,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
delayed_reward_strength,0.0,7,ppo_v3,1.2402284421746372,0.079,3.118528481678208
delayed_reward_strength,0.0,7,uniform,1.0119097139174,0.0744,2.884487526726151
delayed_reward_strength,0.0,8,bandit_v2,1.2378678156915839,0.085,3.094300087788361
delayed_reward_strength,0.0,8,fqi_v3,1.0663149285495734,0.08,2.9544292883738468
delayed_reward_strength,0.0,8,no_op,0.9979349852134687,0.0808,2.883955784274637
delayed_reward_strength,0.0,8,ppo_v3,1.4547382676649625,0.0938,3.3266392865049608
delayed_reward_strength,0.0,8,uniform,1.1115188546849577,0.0822,3.0683179180353353
delayed_reward_strength,0.0,9,bandit_v2,1.0957991527971438,0.0756,2.9696759848359244
delayed_reward_strength,0.0,9,fqi_v3,1.0367239394598942,0.078,2.928760271763634
delayed_reward_strength,0.0,9,no_op,0.894503434374167,0.0744,2.7547734157911052
delayed_reward_strength,0.0,9,ppo_v3,1.3597952264955602,0.0812,3.18821824977036
delayed_reward_strength,0.0,9,uniform,1.1415475118307172,0.0854,3.077516099715073
delayed_reward_strength,0.25,5,bandit_v2,1.443600546151736,0.1128,3.491702577631887
delayed_reward_strength,0.25,5,fqi_v3,1.444065182472813,0.1272,3.545676452930738
delayed_reward_strength,0.25,5,no_op,0.9891364895829158,0.081,2.9027535946989627
delayed_reward_strength,0.25,5,ppo_v3,1.8890757228303734,0.1628,3.9037647801961506
delayed_reward_strength,0.25,5,uniform,1.3632421794404104,0.1148,3.414921610797577
delayed_reward_strength,0.25,6,bandit_v2,1.4984095843382386,0.1148,3.5034351462912188
delayed_reward_strength,0.25,6,fqi_v3,1.5061764374885767,0.1274,3.5747582061067926
delayed_reward_strength,0.25,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
delayed_reward_strength,0.25,6,ppo_v3,2.0295465823744245,0.167,4.086753399992774
delayed_reward_strength,0.25,6,uniform,1.3961248798840704,0.1138,3.431489323585596
delayed_reward_strength,0.25,7,bandit_v2,1.5181374927618287,0.118,3.5149329111208822
delayed_reward_strength,0.25,7,fqi_v3,1.4823083522659608,0.1246,3.491256086450262
delayed_reward_strength,0.25,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
delayed_reward_strength,0.25,7,ppo_v3,1.9950154944864538,0.1634,4.074657025909546
delayed_reward_strength,0.25,7,uniform,1.402821589404334,0.118,3.458038780318276
delayed_reward_strength,0.25,8,bandit_v2,1.5468760921079165,0.1204,3.5345502674808977
delayed_reward_strength,0.25,8,fqi_v3,1.2847154564878702,0.1108,3.327291066125427
delayed_reward_strength,0.25,8,no_op,0.9979349852134687,0.0808,2.883955784274637
delayed_reward_strength,0.25,8,ppo_v3,2.153445561667765,0.1784,4.17719057116673
delayed_reward_strength,0.25,8,uniform,1.4452109975059502,0.1196,3.529662485699673
delayed_reward_strength,0.25,9,bandit_v2,1.552504756473598,0.1234,3.6090462633964013
delayed_reward_strength,0.25,9,fqi_v3,1.4466236847393843,0.1232,3.5098606695026504
delayed_reward_strength,0.25,9,no_op,0.894503434374167,0.0744,2.7547734157911052
delayed_reward_strength,0.25,9,ppo_v3,2.070361589229767,0.1698,4.148582783994424
delayed_reward_strength,0.25,9,uniform,1.5078964159700077,0.1264,3.5647970314744075
delayed_reward_strength,0.5,5,bandit_v2,1.5768879397848807,0.1268,3.638248698942195
delayed_reward_strength,0.5,5,fqi_v3,1.674954661544128,0.1492,3.794819762918218
delayed_reward_strength,0.5,5,no_op,0.9891364895829158,0.081,2.9027535946989627
delayed_reward_strength,0.5,5,ppo_v3,1.866751231187308,0.1632,3.917865660466817
delayed_reward_strength,0.5,5,uniform,1.511642953322382,0.1314,3.59041272081891
delayed_reward_strength,0.5,6,bandit_v2,1.6348347800871255,0.1308,3.683565765651308
delayed_reward_strength,0.5,6,fqi_v3,1.6510226246615478,0.1424,3.7123492293764775
delayed_reward_strength,0.5,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
delayed_reward_strength,0.5,6,ppo_v3,2.034642810741168,0.1676,4.08910794223738
delayed_reward_strength,0.5,6,uniform,1.5342394445204297,0.1294,3.5880398854387368
delayed_reward_strength,0.5,7,bandit_v2,1.5992716897884434,0.1286,3.6300736499640527
delayed_reward_strength,0.5,7,fqi_v3,1.5622269594570228,0.1374,3.6211705805793866
delayed_reward_strength,0.5,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
delayed_reward_strength,0.5,7,ppo_v3,1.9967695532249328,0.1636,4.076580881615414
delayed_reward_strength,0.5,7,uniform,1.5202668755113244,0.1312,3.5986404491855573
delayed_reward_strength,0.5,8,bandit_v2,1.744239429677437,0.1406,3.7547220107892194
delayed_reward_strength,0.5,8,fqi_v3,1.4402339059628275,0.1254,3.4869107934562185
delayed_reward_strength,0.5,8,no_op,0.9979349852134687,0.0808,2.883955784274637
delayed_reward_strength,0.5,8,ppo_v3,1.7793580564434932,0.1792,3.9276875588433597
delayed_reward_strength,0.5,8,uniform,1.5872818762587986,0.1356,3.6980827462401034
delayed_reward_strength,0.5,9,bandit_v2,1.7327961396541738,0.1412,3.812282149407767
delayed_reward_strength,0.5,9,fqi_v3,1.577714588120459,0.138,3.6424967169020928
delayed_reward_strength,0.5,9,no_op,0.894503434374167,0.0744,2.7547734157911052
delayed_reward_strength,0.5,9,ppo_v3,2.0721241360198985,0.17,4.149778870820043
delayed_reward_strength,0.5,9,uniform,1.6561102341576928,0.143,3.7376996767959425
delayed_reward_strength,1.0,5,bandit_v2,1.6321308414441047,0.1324,3.693173213592554
delayed_reward_strength,1.0,5,fqi_v3,1.6965909920103859,0.152,3.82349856096222
delayed_reward_strength,1.0,5,no_op,0.9891364895829158,0.081,2.9027535946989627
delayed_reward_strength,1.0,5,ppo_v3,1.619745231187308,0.1632,3.782146797605617
delayed_reward_strength,1.0,5,uniform,1.5520423728100166,0.136,3.630769623947546
delayed_reward_strength,1.0,6,bandit_v2,1.6762609246031719,0.1346,3.7263409164033696
delayed_reward_strength,1.0,6,fqi_v3,1.7042113347334586,0.1478,3.7647931520477584
delayed_reward_strength,1.0,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
